currentPrice,previousClose,open,dayLow,dayHigh,bid,dividendYield,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,returnOnAssets,returnOnEquity,bookValue,priceToBook,volume,fiftyTwoWeekRange,marketCap,trailingPE,symbol,timestamp
174.84,178.74,173.21,165.51,180.445,171.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40436557,108741,153.27 - 200.0,13888536576,9.476422,BAP,2025-04-07 09:27:33.716718
175.0,178.74,173.21,165.51,180.445,175.32,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40473562,113101,153.27 - 200.0,13901246464,9.485094,BAP,2025-04-07 09:28:35.914900
173.0,178.74,173.21,165.51,180.445,177.19,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40011007,115876,153.27 - 200.0,13742374912,9.376694,BAP,2025-04-07 09:29:38.465500
174.11,178.74,173.21,165.51,180.445,177.19,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40267727,116713,153.27 - 200.0,13830549504,9.436856,BAP,2025-04-07 09:30:40.801247
174.11,178.74,173.21,165.51,180.445,176.93,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40267727,116820,153.27 - 200.0,13830549504,9.436856,BAP,2025-04-07 09:31:43.050096
175.0,178.74,173.21,165.51,180.445,176.93,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40473562,117333,153.27 - 200.0,13901246464,9.485094,BAP,2025-04-07 09:32:45.704130
175.86,178.74,173.21,165.51,180.445,176.96,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.4067246,121743,153.27 - 200.0,13969561600,9.531707,BAP,2025-04-07 09:33:47.974628
175.65,178.74,173.21,165.51,180.445,178.15,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.4062389,122956,153.27 - 200.0,13952879616,9.520325,BAP,2025-04-07 09:34:50.511850
175.65,178.74,173.21,165.51,180.445,176.31,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.4062389,122983,153.27 - 200.0,13952879616,9.520325,BAP,2025-04-07 09:35:52.743969
175.5,178.74,173.21,165.51,180.445,176.31,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.405892,124026,153.27 - 200.0,13940964352,9.512195,BAP,2025-04-07 09:36:55.000928
175.5,178.74,173.21,165.51,180.445,175.8,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.405892,124079,153.27 - 200.0,13940964352,9.512195,BAP,2025-04-07 09:37:58.053207
173.005,178.74,173.21,165.51,180.445,173.3,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40012166,127481,153.27 - 200.0,13742773248,9.376965,BAP,2025-04-07 09:39:00.499471
173.005,178.74,173.21,165.51,180.445,172.15,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40012166,128116,153.27 - 200.0,13742773248,9.376965,BAP,2025-04-07 09:40:03.224233
171.95,178.74,173.21,165.51,180.445,171.35,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.39768165,155564,153.27 - 200.0,13658968064,9.319782,BAP,2025-04-07 09:41:05.373170
172.75,178.74,173.21,165.51,180.445,173.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.39953187,157075,153.27 - 200.0,13722516480,9.363143,BAP,2025-04-07 09:42:07.556686
171.875,178.74,173.21,165.51,180.445,174.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.3975082,159862,153.27 - 200.0,13653010432,9.315718,BAP,2025-04-07 09:43:09.716340
172.885,178.74,173.21,165.51,180.445,173.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.3998441,161847,153.27 - 200.0,13733239808,9.37046,BAP,2025-04-07 09:44:12.362828
173.615,178.74,173.21,165.51,180.445,173.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40153244,162249,153.27 - 200.0,13791228928,9.410027,BAP,2025-04-07 09:45:15.173945
173.615,178.74,173.21,165.51,180.445,173.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40153244,164656,153.27 - 200.0,13791228928,9.410027,BAP,2025-04-07 09:46:17.621513
173.615,178.74,173.21,165.51,180.445,173.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40153244,164658,153.27 - 200.0,13791228928,9.410027,BAP,2025-04-07 09:47:20.046472
172.19,178.74,173.21,165.51,180.445,173.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.39823672,178786,153.27 - 200.0,13678032896,9.332791,BAP,2025-04-07 09:48:22.677606
172.19,178.74,173.21,165.51,180.445,173.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.39823672,182746,153.27 - 200.0,13678032896,9.332791,BAP,2025-04-07 09:49:25.166672
172.19,178.74,173.21,165.51,180.445,173.12,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.39823672,186145,153.27 - 200.0,13678032896,9.332791,BAP,2025-04-07 09:50:27.556316
172.7667,178.74,173.21,165.51,180.445,173.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.3995705,200397,153.27 - 200.0,13723842560,9.364048,BAP,2025-04-07 09:51:30.364268
172.71,178.74,173.21,165.51,180.445,173.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.4000985,203726,153.27 - 200.0,13741977600,9.376422,BAP,2025-04-07 09:52:32.620772
172.27,178.74,173.21,165.51,180.445,173.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.39842176,207754,153.27 - 200.0,13684387840,9.337128,BAP,2025-04-07 09:53:35.389764
172.27,178.74,173.21,165.51,180.445,173.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.39842176,208115,153.27 - 200.0,13684387840,9.337128,BAP,2025-04-07 09:54:37.826701
172.025,178.74,173.21,165.51,180.445,172.07,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.3978551,208524,153.27 - 200.0,13664924672,9.323848,BAP,2025-04-07 09:55:40.787365
173.215,178.74,173.21,165.51,180.445,171.91,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40060732,209250,153.27 - 200.0,13759454208,9.388347,BAP,2025-04-07 09:56:43.170521
173.02,178.74,173.21,165.51,180.445,171.91,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40015635,210378,153.27 - 200.0,13743964160,9.377778,BAP,2025-04-07 09:57:46.512226
173.215,178.74,173.21,165.51,180.445,171.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40060732,211055,153.27 - 200.0,13759454208,9.388347,BAP,2025-04-07 09:58:49.116086
173.015,178.74,173.21,165.51,180.445,172.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40014476,212233,153.27 - 200.0,13743566848,9.377506,BAP,2025-04-07 09:59:52.301643
171.85,178.74,173.21,165.51,180.445,172.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.3974504,213422,153.27 - 200.0,13651024896,9.3143635,BAP,2025-04-07 10:00:54.663817
172.66,178.74,173.21,165.51,180.445,172.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.39932373,215202,153.27 - 200.0,13715367936,9.358265,BAP,2025-04-07 10:01:56.863288
172.735,178.74,173.21,165.51,180.445,171.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.39949718,215836,153.27 - 200.0,13721324544,9.36233,BAP,2025-04-07 10:02:59.093998
173.0,178.74,173.21,165.51,180.445,171.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40011007,217023,153.27 - 200.0,13742374912,9.376694,BAP,2025-04-07 10:04:01.732787
172.74,178.74,173.21,165.51,180.445,171.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.39950877,217515,153.27 - 200.0,13721722880,9.362601,BAP,2025-04-07 10:05:04.542361
172.78,178.74,173.21,165.51,180.445,172.19,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.39960125,218217,153.27 - 200.0,13724899328,9.364769,BAP,2025-04-07 10:06:15.120738
171.85,178.74,173.21,165.51,180.445,172.49,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.3974504,219938,153.27 - 200.0,13651024896,9.3143635,BAP,2025-04-07 10:07:17.571426
171.66,178.74,173.21,165.51,180.445,171.68,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.39701095,220658,153.27 - 200.0,13635932160,9.304065,BAP,2025-04-07 10:08:20.210020
171.97,178.74,173.21,165.51,180.445,171.75,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.3977279,221434,153.27 - 200.0,13660556288,9.320867,BAP,2025-04-07 10:09:22.371990
171.8,178.74,173.21,165.51,180.445,172.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.39733475,222597,153.27 - 200.0,13647052800,9.311653,BAP,2025-04-07 10:10:24.793902
