currentPrice,previousClose,open,dayLow,dayHigh,bid,dividendYield,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,returnOnAssets,returnOnEquity,bookValue,priceToBook,volume,fiftyTwoWeekRange,marketCap,trailingPE,symbol,timestamp
483.5999,493.54,467.415,462.1,505.8451,482.18,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010714113,7496809,395.66 - 539.0,1044479148032,11.720794,BRK-B,2025-04-07 11:42:13.595087
482.9325,493.54,467.415,462.1,505.8451,482.6,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010699327,7505911,395.66 - 539.0,1043037618176,11.7046175,BRK-B,2025-04-07 11:43:15.769472
481.67,493.54,467.415,462.1,505.8451,483.01,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010671356,7519108,395.66 - 539.0,1040310927360,11.674019,BRK-B,2025-04-07 11:44:17.915239
482.715,493.54,467.415,462.1,505.8451,483.45,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010694508,7529610,395.66 - 539.0,1042567856128,11.699346,BRK-B,2025-04-07 11:45:20.507375
482.525,493.54,467.415,462.1,505.8451,483.36,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010690298,7537803,395.66 - 539.0,1042157535232,11.694741,BRK-B,2025-04-07 11:46:22.629060
482.595,493.54,467.415,462.1,505.8451,483.31,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.001069185,7547298,395.66 - 539.0,1042308726784,11.696438,BRK-B,2025-04-07 11:47:25.302255
482.7684,493.54,467.415,462.1,505.8451,483.51,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010695691,7559882,395.66 - 539.0,1042683199488,11.700641,BRK-B,2025-04-07 11:48:28.077635
482.585,493.54,467.415,462.1,505.8451,483.53,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010691627,7570667,395.66 - 539.0,1042287099904,11.696196,BRK-B,2025-04-07 11:49:30.285762
482.72,493.54,467.415,462.1,505.8451,483.0,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010694619,7579807,395.66 - 539.0,1042578669568,11.699468,BRK-B,2025-04-07 11:50:32.526663
484.14,493.54,467.415,462.1,505.8451,483.27,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010726079,7591093,395.66 - 539.0,1045645623296,11.733884,BRK-B,2025-04-07 11:51:34.689021
482.2701,493.54,467.415,462.1,505.8451,483.16,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010712342,7598255,395.66 - 539.0,1044306526208,11.718856,BRK-B,2025-04-07 11:52:37.076391
483.345,493.54,467.415,462.1,505.8451,484.25,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010708466,7606616,395.66 - 539.0,1043928580096,11.714615,BRK-B,2025-04-07 11:53:39.267717
483.66,493.54,467.415,462.1,505.8451,483.84,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010715445,7615095,395.66 - 539.0,1044608909312,11.72225,BRK-B,2025-04-07 11:54:41.601262
483.5,493.54,467.415,462.1,505.8451,483.34,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.001070902,7629846,395.66 - 539.0,1043982516224,11.71522,BRK-B,2025-04-07 11:55:43.971220
483.56,493.54,467.415,462.1,505.8451,483.92,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.001071323,7642650,395.66 - 539.0,1044392902656,11.719826,BRK-B,2025-04-07 11:56:46.277233
483.02,493.54,467.415,462.1,505.8451,482.61,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010701265,7649923,395.66 - 539.0,1043226624000,11.7067375,BRK-B,2025-04-07 11:57:48.536232
482.6579,493.54,467.415,462.1,505.8451,482.53,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010693243,7665297,395.66 - 539.0,1042444582912,11.697962,BRK-B,2025-04-07 11:58:50.731159
483.0527,493.54,467.415,462.1,505.8451,481.56,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.001070199,7673549,395.66 - 539.0,1043297271808,11.707531,BRK-B,2025-04-07 11:59:52.814525
487.89,493.54,467.415,462.1,505.8451,482.04,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.001080916,7724417,395.66 - 539.0,1053744889856,11.824771,BRK-B,2025-04-07 12:00:55.370293
486.895,493.54,467.415,462.1,505.8451,482.1,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010787115,7745949,395.66 - 539.0,1051595833344,11.800654,BRK-B,2025-04-07 12:01:57.740317
484.9149,493.54,467.415,462.1,505.8451,482.29,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010743246,7770804,395.66 - 539.0,1047319216128,11.752664,BRK-B,2025-04-07 12:03:00.269391
483.645,493.54,467.415,462.1,505.8451,481.82,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010715112,7791565,395.66 - 539.0,1044576468992,11.721886,BRK-B,2025-04-07 12:04:02.385880
483.68,493.54,467.415,462.1,505.8451,482.17,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010718214,7810443,395.66 - 539.0,1044878852096,11.725279,BRK-B,2025-04-07 12:05:04.850804
